Homograph	Reading	Type
史	シ	on
史	ふびと	kun
史	ふみ	kun, personal name
史	さかん	personal name
史	じ	personal name
史	ちか	personal name
史	ちかし	personal name
史	ひと	personal name
史	ふの	personal name
史	ふひと	personal name
史	み	personal name
司	シ	on
司	ス	on
司	つかさ	kun
司	つかさど	kun
司	おさむ	personal name
司	かず	personal name
司	じ	personal name
司	つとむ	personal name
司	もと	personal name
司	もり	personal name
失	シツ	on
失	イツ	on
失	うしな	kun
失	う	kun
必	ヒツ	on
必	かなら	kun
付	フ	on
付	つ	kun
付	あた	kun
付	とも	personal name
辺	ヘン	on
辺	あた	kun
辺	べ	kun
辺	ほとり	kun
包	ホウ	on
包	つつ	kun
包	くる	kun
包	かた	personal name
包	かつ	personal name
包	かぬ	personal name
包	かね	personal name
包	しげ	personal name
末	マツ	on
末	バツ	on
末	すえ	kun
末	うら	kun
未	ミ	on
未	ビ	on
未	いま	kun, personal name
未	ひつじ	kun
未	ま	kun
未	いや	personal name
未	ひで	personal name
民	ミン	on
民	たみ	kun
民	た	personal name
民	ひと	personal name
民	み	personal name
民	もと	personal name
令	レイ	on
令	リョウ	on
令	いいつけ	kun
令	おさ	kun, personal name
令	よ	kun
令	なり	personal name
令	のり	personal name
令	はる	personal name
令	よし	personal name
令	れ	personal name
圧	アツ	on
圧	オウ	on
圧	お	kun
圧	へ	kun
永	エイ	on
永	ヨウ	on
永	なが	kun, personal name
永	とこしえ	kun
永	え	personal name
永	つね	personal name
永	な	personal name
永	のぶ	personal name
永	のり	personal name
永	はるか	personal name
永	ひさ	personal name
永	ひさし	personal name
可	カ	on
可	コク	on
可	べ	kun
可	よ	kun
可	あり	personal name
可	とき	personal name
可	よし	personal name
可	より	personal name
刊	カン	on
刊	きざ	kun
刊	けず	kun
旧	キュウ	on
旧	ふ	kun
旧	ふる	kun
旧	もと	kun
句	ク	on
句	コウ	on
句	あ	kun
句	ま	kun
示	ジ	on
示	シ	on
示	キ	on
示	ギ	on
示	しめ	kun, personal name
示	とき	personal name
示	み	personal name
犯	ハン	on
犯	ボン	on
犯	おか	kun
布	フ	on
布	ホ	on
布	ぬの	kun
布	し	kun
布	う	personal name
布	しき	personal name
布	しく	personal name
布	たえ	personal name
布	のぶ	personal name
布	よし	personal name
弁	ベン	on
弁	かた	kun
弁	かんむり	kun
弁	と	kun
弁	はなびら	kun
弁	わきま	kun
弁	わ	kun
穴	ケツ	on
穴	あな	kun
冊	サツ	on
冊	サク	on
冊	た	kun
冊	ふみ	kun
処	ショ	on
処	ソ	on
処	お	kun
処	ところ	kun
庁	チョウ	on
庁	テイ	on
幼	ヨウ	on
幼	ユウ	on
幼	おさな	kun
幼	いとけな	kun
甘	カン	on
甘	あま	kun, personal name
甘	うま	kun
甘	かい	personal name
甘	よし	personal name
丘	キュウ	on
丘	おか	kun
丘	お	personal name
丘	たか	personal name
丘	たかし	personal name
巨	キョ	on
巨	コ	on
巨	おお	kun, personal name
巨	お	personal name
巨	なお	personal name
巨	まさ	personal name
巨	み	personal name
玄	ゲン	on
玄	くろ	kun, personal name
玄	しず	personal name
玄	しずか	personal name
玄	つね	personal name
玄	とお	personal name
玄	のり	personal name
玄	はじめ	personal name
玄	はる	personal name
玄	はるか	personal name
玄	ひかる	personal name
玄	ひろ	personal name
玄	ふか	personal name
玄	ふかし	personal name
込	こ	kun
召	ショウ	on
召	め	kun
占	セン	on
占	うらな	kun
占	し	kun
奴	ド	on
奴	ヌ	on
奴	め	kun
奴	やつ	kun
奴	やっこ	kun
払	フツ	on
払	ヒツ	on
払	はら	kun
矛	ム	on
矛	ボウ	on
矛	ほこ	kun
甲	カン	on
甲	コウ	on
甲	かぶと	kun
甲	きのえ	kun, personal name
甲	つめ	kun
甲	よろい	kun
甲	か	personal name
甲	かつ	personal name
甲	き	personal name
甲	まさる	personal name
巧	コウ	on
巧	たく	kun
巧	うま	kun
巧	く	personal name
巧	たえ	personal name
巧	よし	personal name
巧	たくみ	personal name
斥	セキ	on
斥	うかが	kun
斥	しりぞ	kun
凹	オウ	on
凹	くぼ	kun
凹	へこ	kun
且	ショ	on
且	か	kun
且	しばら	kun
且	まさ	kun
且	かつ	personal name
囚	シュウ	on
囚	とら	kun
汁	ジュウ	on
汁	シュウ	on
汁	しる	kun
汁	つゆ	kun
仙	セン	on
仙	たかし	personal name
仙	のり	personal name
仙	ひさ	personal name
仙	ひと	personal name
凸	トツ	on
凸	でこ	kun
尼	ニ	on
尼	ジ	on
尼	あま	kun
丙	ヘイ	on
丙	ひのえ	kun, personal name
丙	あき	personal name
丙	あきら	personal name
丙	え	personal name
瓦	ガ	on
瓦	かわら	kun
瓦	かわらけ	kun
瓦	グラム	kun
叱	シツ	on
叱	シチ	on
叱	しか	kun
尻	コウ	on
尻	しり	kun
尻	けつ	kun
旦	タン	on
旦	ダン	on
旦	あした	kun
旦	あき	personal name
旦	あきら	personal name
旦	あけ	personal name
旦	あさ	personal name
旦	ただし	personal name
丼	セイ	on
丼	ショウ	on
丼	タン	on
丼	トン	on
丼	どん	kun
丼	どんぶり	kun
氾	ハン	on
氾	あふ	kun
氾	ひろ	kun
休	キュウ	on
休	ク	on
休	やす	kun
休	いこ	kun
休	さいわ	kun
休	や	kun
休	よ	kun
気	キ	on
気	ケ	on
気	いき	kun
気	おき	personal name
糸	シ	on
糸	ベキ	on
糸	いと	kun
糸	たえ	personal name
糸	ため	personal name
糸	つら	personal name
糸	より	personal name
字	ジ	on
字	シ	on
字	あざ	kun
字	あざな	kun
耳	ジ	on
耳	ニ	on
耳	みみ	kun
耳	のみ	kun
耳	み	personal name
先	セン	on
先	さき	kun
先	ま	kun
先	 すすむ	personal name
先	ゆき	personal name
早	ソウ	on
早	サッ	on
早	はや	kun
早	さ	kun, personal name
早	さき	personal name
竹	チク	on
竹	シツ	on
竹	たけ	kun
竹	たか	personal name
虫	チュウ	on
虫	キ	on
虫	むし	kun
年	ネン	on
年	デン	on
年	とし	kun
年	とせ	kun
年	みのり	kun
年	よわい	kun
年	かず	personal name
年	ちか	personal name
年	と	personal name
年	みのる	personal name
百	ヒャク	on
百	ハク	on
百	もも	kun
百	お	personal name
百	と	personal name
百	も	personal name
名	ミョウ	on
名	メイ	on
名	な	kun
名	あきら	personal name
名	かた	personal name
名	なずく	personal name
名	もり	personal name
羽	ウ	on
羽	は	kun
羽	はね	kun
羽	つばさ	personal name
羽	ば	personal name
羽	わね	personal name
会	カイ	on
会	エ	on
会	あ	kun
会	あつ	kun
会	あい	personal name
回	カイ	on
回	エ	on
回	まわ	kun
回	めぐ	kun
交	コウ	on
交	ま	kun
交	まじ	kun
交	か	kun
交	こもごも	kun
交	あう	personal name
交	かた	personal name
交	とも	personal name
交	みち	personal name
交	よしみ	personal name
光	コウ	on
光	ひかり	kun
光	ひか	kun
光	あき	personal name
光	あきら	personal name
光	てる	personal name
光	ひろ	personal name
光	み	personal name
光	みつ	personal name
光	みつる	personal name
光	る	personal name
考	コウ	on
考	かんが	kun
考	たか	personal name
考	ただ	personal name
考	ちか	personal name
考	とし	personal name
考	なり	personal name
考	のり	personal name
考	やす	personal name
考	よし	personal name
行	ギョウ	on
行	コウ	on
行	アン	on
行	い	kun
行	おこな	kun
行	ゆ	kun
行	し	kun
行	みち	kun
行	や	kun
行	いく	personal name
行	き	personal name
行	のり	personal name
行	みち	personal name
行	ゆき	personal name
合	カッ	on
合	ガッ	on
合	ゴウ	on
合	コウ	on
合	あ	kun
合	あい	personal name
合	かい	personal name
合	はる	personal name
